Quarter,Sales,t,log_Sales,t_square,Q1,Q2,Q3,Q4,Quat,Year
Q1_86,1734.827,1,3.239256173,1,1,0,0,0,Q1,1986
Q2_86,2244.960999,2,3.3512088,4,0,1,0,0,Q2,1986
Q3_86,2533.804993,3,3.403773188,9,0,0,1,0,Q3,1986
Q4_86,2154.962997,4,3.333439817,16,0,0,0,1,Q4,1986
Q1_87,1547.818996,5,3.189720172,25,1,0,0,0,Q1,1987
Q2_87,2104.411995,6,3.323130769,36,0,1,0,0,Q2,1987
Q3_87,2014.362999,7,3.304137735,49,0,0,1,0,Q3,1987
Q4_87,1991.746998,8,3.299234171,64,0,0,0,1,Q4,1987
Q1_88,1869.049999,9,3.271620919,81,1,0,0,0,Q1,1988
Q2_88,2313.631996,10,3.364294282,100,0,1,0,0,Q2,1988
Q3_88,2128.32,11,3.328036926,121,0,0,1,0,Q3,1988
Q4_88,2026.828999,12,3.306817109,144,0,0,0,1,Q4,1988
Q1_89,1910.603996,13,3.281170682,169,1,0,0,0,Q1,1989
Q2_89,2331.164993,14,3.367573013,196,0,1,0,0,Q2,1989
Q3_89,2206.549995,15,3.343713772,225,0,0,1,0,Q3,1989
Q4_89,2173.967995,16,3.337253146,256,0,0,0,1,Q4,1989
Q1_90,2148.278,17,3.332090481,289,1,0,0,0,Q1,1990
Q2_90,2739.307999,18,3.437640866,324,0,1,0,0,Q2,1990
Q3_90,2792.753998,19,3.446032682,361,0,0,1,0,Q3,1990
Q4_90,2556.009995,20,3.407562548,400,0,0,0,1,Q4,1990
Q1_91,2480.973999,21,3.394622213,441,1,0,0,0,Q1,1991
Q2_91,3039.522995,22,3.482805433,484,0,1,0,0,Q2,1991
Q3_91,3172.115997,23,3.50134906,529,0,0,1,0,Q3,1991
Q4_91,2879.000999,24,3.459241816,576,0,0,0,1,Q4,1991
Q1_92,2772,25,3.442793226,625,1,0,0,0,Q1,1992
Q2_92,3550,26,3.550228353,676,0,1,0,0,Q2,1992
Q3_92,3508,27,3.545059585,729,0,0,1,0,Q3,1992
Q4_92,3243.859993,28,3.511062102,784,0,0,0,1,Q4,1992
Q1_93,3056,29,3.48515335,841,1,0,0,0,Q1,1993
Q2_93,3899,30,3.590953235,900,0,1,0,0,Q2,1993
Q3_93,3629,31,3.559786968,961,0,0,1,0,Q3,1993
Q4_93,3373,32,3.528016341,1024,0,0,0,1,Q4,1993
Q1_94,3352,33,3.52530401,1089,1,0,0,0,Q1,1994
Q2_94,4342,34,3.637689819,1156,0,1,0,0,Q2,1994
Q3_94,4461,35,3.649432223,1225,0,0,1,0,Q3,1994
Q4_94,4017,36,3.603901832,1296,0,0,0,1,Q4,1994
Q1_95,3854,37,3.58591171,1369,1,0,0,0,Q1,1995
Q2_95,4936,38,3.693375151,1444,0,1,0,0,Q2,1995
Q3_95,4895,39,3.689752696,1521,0,0,1,0,Q3,1995
Q4_95,4333,40,3.636788689,1600,0,0,0,1,Q4,1995
Q1_96,4194,41,3.622628426,1681,1,0,0,0,Q1,1996
Q2_96,5253,42,3.720407401,1764,0,1,0,0,Q2,1996
